epic,resolution,t,datetime,open,high,low,close,volume
GBPUSD,MINUTE,1744307460000.0,2025-04-10 17:51:00,1.295725,1.295965,1.295715,1.295805,211
GBPUSD,MINUTE,1744307520000.0,2025-04-10 17:52:00,1.295795,1.295795,1.2953350000000001,1.295755,249
GBPUSD,MINUTE,1744307580000.0,2025-04-10 17:53:00,1.295735,1.295855,1.295135,1.295545,248
GBPUSD,MINUTE,1744307640000.0,2025-04-10 17:54:00,1.295535,1.2957049999999999,1.2953350000000001,1.295465,224
GBPUSD,MINUTE,1744307700000.0,2025-04-10 17:55:00,1.295495,1.295645,1.295135,1.295265,238
GBPUSD,MINUTE,1744307760000.0,2025-04-10 17:56:00,1.295285,1.295375,1.294845,1.294895,241
GBPUSD,MINUTE,1744307820000.0,2025-04-10 17:57:00,1.294915,1.294925,1.2940450000000001,1.2941150000000001,309
GBPUSD,MINUTE,1744307880000.0,2025-04-10 17:58:00,1.294155,1.294165,1.293835,1.293845,216
GBPUSD,MINUTE,1744307940000.0,2025-04-10 17:59:00,1.293855,1.293975,1.293675,1.293815,218
GBPUSD,MINUTE,1744308000000.0,2025-04-10 18:00:00,1.293845,1.293885,1.2931650000000001,1.293205,259
GBPUSD,MINUTE,1744308060000.0,2025-04-10 18:01:00,1.293225,1.2934350000000001,1.292955,1.293065,216
GBPUSD,MINUTE,1744308120000.0,2025-04-10 18:02:00,1.293075,1.293475,1.292835,1.293345,275
GBPUSD,MINUTE,1744308180000.0,2025-04-10 18:03:00,1.293335,1.293335,1.293005,1.293145,199
GBPUSD,MINUTE,1744308240000.0,2025-04-10 18:04:00,1.293135,1.293605,1.293095,1.293595,196
GBPUSD,MINUTE,1744308300000.0,2025-04-10 18:05:00,1.293605,1.293705,1.293315,1.293695,187
GBPUSD,MINUTE,1744308360000.0,2025-04-10 18:06:00,1.293705,1.293935,1.293655,1.293885,174
GBPUSD,MINUTE,1744308420000.0,2025-04-10 18:07:00,1.2938749999999999,1.294425,1.2938749999999999,1.294325,179
GBPUSD,MINUTE,1744308480000.0,2025-04-10 18:08:00,1.294345,1.294375,1.293695,1.293845,225
GBPUSD,MINUTE,1744308540000.0,2025-04-10 18:09:00,1.293835,1.293885,1.293345,1.293375,162
GBPUSD,MINUTE,1744308600000.0,2025-04-10 18:10:00,1.293385,1.293385,1.292995,1.293085,185
GBPUSD,MINUTE,1744308660000.0,2025-04-10 18:11:00,1.293075,1.293485,1.293065,1.293185,198
GBPUSD,MINUTE,1744308720000.0,2025-04-10 18:12:00,1.2931650000000001,1.2935050000000001,1.293115,1.293395,181
GBPUSD,MINUTE,1744308780000.0,2025-04-10 18:13:00,1.293405,1.293455,1.293085,1.293335,190
GBPUSD,MINUTE,1744308840000.0,2025-04-10 18:14:00,1.293315,1.293345,1.292975,1.293315,170
GBPUSD,MINUTE,1744308900000.0,2025-04-10 18:15:00,1.293295,1.293415,1.293065,1.293335,183
GBPUSD,MINUTE,1744308960000.0,2025-04-10 18:16:00,1.293345,1.293715,1.293205,1.293715,186
GBPUSD,MINUTE,1744309020000.0,2025-04-10 18:17:00,1.293725,1.2941449999999999,1.293705,1.2941449999999999,193
GBPUSD,MINUTE,1744309080000.0,2025-04-10 18:18:00,1.294135,1.294185,1.293945,1.2941449999999999,203
GBPUSD,MINUTE,1744309140000.0,2025-04-10 18:19:00,1.294135,1.294235,1.293955,1.294195,196
GBPUSD,MINUTE,1744309200000.0,2025-04-10 18:20:00,1.294185,1.294555,1.2941449999999999,1.294535,192
GBPUSD,MINUTE,1744309260000.0,2025-04-10 18:21:00,1.294545,1.294685,1.294165,1.294675,204
GBPUSD,MINUTE,1744309320000.0,2025-04-10 18:22:00,1.2946550000000001,1.294825,1.294185,1.294335,274
GBPUSD,MINUTE,1744309380000.0,2025-04-10 18:23:00,1.294325,1.294395,1.293895,1.293995,249
GBPUSD,MINUTE,1744309440000.0,2025-04-10 18:24:00,1.293985,1.294335,1.293915,1.294005,234
GBPUSD,MINUTE,1744309500000.0,2025-04-10 18:25:00,1.293995,1.293995,1.293455,1.293665,216
GBPUSD,MINUTE,1744309560000.0,2025-04-10 18:26:00,1.293645,1.293795,1.293515,1.293615,216
GBPUSD,MINUTE,1744309620000.0,2025-04-10 18:27:00,1.293605,1.293605,1.293225,1.2935050000000001,208
GBPUSD,MINUTE,1744309680000.0,2025-04-10 18:28:00,1.293495,1.293865,1.293475,1.293725,222
GBPUSD,MINUTE,1744309740000.0,2025-04-10 18:29:00,1.293735,1.293745,1.293385,1.2935050000000001,195
GBPUSD,MINUTE,1744309800000.0,2025-04-10 18:30:00,1.293515,1.293615,1.2934350000000001,1.293525,182
GBPUSD,MINUTE,1744309860000.0,2025-04-10 18:31:00,1.293515,1.293745,1.293095,1.293245,222
GBPUSD,MINUTE,1744309920000.0,2025-04-10 18:32:00,1.293255,1.293275,1.2925849999999999,1.292665,284
GBPUSD,MINUTE,1744309980000.0,2025-04-10 18:33:00,1.2926549999999999,1.292745,1.2925550000000001,1.292705,209
GBPUSD,MINUTE,1744310040000.0,2025-04-10 18:34:00,1.292695,1.293255,1.292565,1.2931949999999999,175
GBPUSD,MINUTE,1744310100000.0,2025-04-10 18:35:00,1.293175,1.293615,1.293135,1.293325,212
GBPUSD,MINUTE,1744310160000.0,2025-04-10 18:36:00,1.293315,1.293665,1.293315,1.2935050000000001,158
GBPUSD,MINUTE,1744310220000.0,2025-04-10 18:37:00,1.293495,1.293685,1.293335,1.293645,181
GBPUSD,MINUTE,1744310280000.0,2025-04-10 18:38:00,1.293655,1.293835,1.293565,1.293705,174
GBPUSD,MINUTE,1744310340000.0,2025-04-10 18:39:00,1.293715,1.294235,1.293715,1.2940450000000001,202
GBPUSD,MINUTE,1744310400000.0,2025-04-10 18:40:00,1.294055,1.294125,1.293865,1.293995,191
GBPUSD,MINUTE,1744310460000.0,2025-04-10 18:41:00,1.293985,1.294095,1.293655,1.293695,215
GBPUSD,MINUTE,1744310520000.0,2025-04-10 18:42:00,1.293705,1.295105,1.293705,1.295045,312
GBPUSD,MINUTE,1744310580000.0,2025-04-10 18:43:00,1.295035,1.295035,1.294475,1.294475,200
GBPUSD,MINUTE,1744310640000.0,2025-04-10 18:44:00,1.294495,1.294645,1.294155,1.294235,175
GBPUSD,MINUTE,1744310700000.0,2025-04-10 18:45:00,1.294225,1.294605,1.294105,1.294605,183
GBPUSD,MINUTE,1744310760000.0,2025-04-10 18:46:00,1.294595,1.294985,1.294555,1.294985,146
GBPUSD,MINUTE,1744310820000.0,2025-04-10 18:47:00,1.294975,1.295145,1.294915,1.295105,124
GBPUSD,MINUTE,1744310880000.0,2025-04-10 18:48:00,1.295115,1.295655,1.295115,1.295625,152
GBPUSD,MINUTE,1744310940000.0,2025-04-10 18:49:00,1.295615,1.295805,1.295535,1.295615,138
GBPUSD,MINUTE,1744311000000.0,2025-04-10 18:50:00,1.295625,1.296095,1.295615,1.296005,153
GBPUSD,MINUTE,1744311060000.0,2025-04-10 18:51:00,1.295995,1.295995,1.295685,1.295895,132
GBPUSD,MINUTE,1744311120000.0,2025-04-10 18:52:00,1.295905,1.296155,1.295575,1.295775,148
GBPUSD,MINUTE,1744311180000.0,2025-04-10 18:53:00,1.295795,1.296015,1.2957049999999999,1.295935,168
GBPUSD,MINUTE,1744311240000.0,2025-04-10 18:54:00,1.2959450000000001,1.295955,1.295245,1.295465,148
GBPUSD,MINUTE,1744311300000.0,2025-04-10 18:55:00,1.295455,1.295725,1.295445,1.295695,120
GBPUSD,MINUTE,1744311360000.0,2025-04-10 18:56:00,1.295715,1.295715,1.295295,1.295315,121
GBPUSD,MINUTE,1744311420000.0,2025-04-10 18:57:00,1.295305,1.295615,1.295275,1.295615,143
GBPUSD,MINUTE,1744311480000.0,2025-04-10 18:58:00,1.2956050000000001,1.295715,1.295495,1.295655,130
GBPUSD,MINUTE,1744311540000.0,2025-04-10 18:59:00,1.295665,1.295675,1.295395,1.295465,102
GBPUSD,MINUTE,1744311600000.0,2025-04-10 19:00:00,1.295455,1.295455,1.294865,1.2950949999999999,211
GBPUSD,MINUTE,1744311660000.0,2025-04-10 19:01:00,1.295085,1.295085,1.294495,1.294625,141
GBPUSD,MINUTE,1744311720000.0,2025-04-10 19:02:00,1.294645,1.295625,1.294645,1.295065,326
GBPUSD,MINUTE,1744311780000.0,2025-04-10 19:03:00,1.295075,1.295445,1.295045,1.295075,263
GBPUSD,MINUTE,1744311840000.0,2025-04-10 19:04:00,1.295065,1.295145,1.294815,1.294925,198
GBPUSD,MINUTE,1744311900000.0,2025-04-10 19:05:00,1.294935,1.294955,1.294455,1.294605,220
GBPUSD,MINUTE,1744311960000.0,2025-04-10 19:06:00,1.294615,1.294765,1.294445,1.294565,211
GBPUSD,MINUTE,1744312020000.0,2025-04-10 19:07:00,1.294575,1.294625,1.294165,1.2943850000000001,242
GBPUSD,MINUTE,1744312080000.0,2025-04-10 19:08:00,1.294365,1.294555,1.294165,1.294215,182
GBPUSD,MINUTE,1744312140000.0,2025-04-10 19:09:00,1.294205,1.294265,1.293955,1.293955,176
GBPUSD,MINUTE,1744312200000.0,2025-04-10 19:10:00,1.293965,1.2940450000000001,1.293765,1.2938749999999999,210
GBPUSD,MINUTE,1744312260000.0,2025-04-10 19:11:00,1.293885,1.294285,1.2938749999999999,1.294175,172
GBPUSD,MINUTE,1744312320000.0,2025-04-10 19:12:00,1.294185,1.294625,1.294155,1.294395,197
GBPUSD,MINUTE,1744312380000.0,2025-04-10 19:13:00,1.2943850000000001,1.294505,1.2941150000000001,1.294125,164
GBPUSD,MINUTE,1744312440000.0,2025-04-10 19:14:00,1.2941150000000001,1.294435,1.294065,1.294395,182
GBPUSD,MINUTE,1744312500000.0,2025-04-10 19:15:00,1.2943850000000001,1.294425,1.294155,1.294425,161
GBPUSD,MINUTE,1744312560000.0,2025-04-10 19:16:00,1.294435,1.2944849999999999,1.294315,1.2944149999999999,140
GBPUSD,MINUTE,1744312620000.0,2025-04-10 19:17:00,1.294425,1.294425,1.294245,1.294335,157
GBPUSD,MINUTE,1744312680000.0,2025-04-10 19:18:00,1.294325,1.294475,1.294255,1.2944149999999999,164
GBPUSD,MINUTE,1744312740000.0,2025-04-10 19:19:00,1.294425,1.294435,1.2937750000000001,1.293885,153
GBPUSD,MINUTE,1744312800000.0,2025-04-10 19:20:00,1.2938749999999999,1.293975,1.293545,1.293675,171
GBPUSD,MINUTE,1744312860000.0,2025-04-10 19:21:00,1.293695,1.293725,1.293355,1.293415,184
GBPUSD,MINUTE,1744312920000.0,2025-04-10 19:22:00,1.293425,1.293785,1.2931949999999999,1.293755,172
GBPUSD,MINUTE,1744312980000.0,2025-04-10 19:23:00,1.293765,1.294055,1.293705,1.294055,169
GBPUSD,MINUTE,1744313040000.0,2025-04-10 19:24:00,1.294065,1.294285,1.294035,1.294095,175
GBPUSD,MINUTE,1744313100000.0,2025-04-10 19:25:00,1.294085,1.294285,1.293985,1.294275,162
GBPUSD,MINUTE,1744313160000.0,2025-04-10 19:26:00,1.294265,1.294365,1.294085,1.294085,165
GBPUSD,MINUTE,1744313220000.0,2025-04-10 19:27:00,1.294075,1.294225,1.293965,1.2940450000000001,170
GBPUSD,MINUTE,1744313280000.0,2025-04-10 19:28:00,1.294055,1.294075,1.293705,1.2938049999999999,138
GBPUSD,MINUTE,1744313340000.0,2025-04-10 19:29:00,1.293795,1.293955,1.293695,1.293955,175
GBPUSD,MINUTE,1744313400000.0,2025-04-10 19:30:00,1.293965,1.2941150000000001,1.293825,1.294055,178
GBPUSD,MINUTE,1744313460000.0,2025-04-10 19:31:00,1.294065,1.294405,1.294065,1.2943850000000001,126
GBPUSD,MINUTE,1744313520000.0,2025-04-10 19:32:00,1.294395,1.294615,1.294365,1.294615,168
GBPUSD,MINUTE,1744313580000.0,2025-04-10 19:33:00,1.294605,1.295115,1.294555,1.294865,178
GBPUSD,MINUTE,1744313640000.0,2025-04-10 19:34:00,1.294855,1.295025,1.294775,1.294955,131
GBPUSD,MINUTE,1744313700000.0,2025-04-10 19:35:00,1.294945,1.295055,1.294905,1.295045,145
GBPUSD,MINUTE,1744313760000.0,2025-04-10 19:36:00,1.295025,1.295925,1.294985,1.295525,196
GBPUSD,MINUTE,1744313820000.0,2025-04-10 19:37:00,1.295515,1.2957049999999999,1.295415,1.295485,154
GBPUSD,MINUTE,1744313880000.0,2025-04-10 19:38:00,1.295495,1.2959450000000001,1.295485,1.2959450000000001,173
